City,Population,Violent_crime,Murder_and_nonnegligent_manslaughter,Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Uwchlan Township,"19,274",14,2,0,5,7,159,28,128,3,0
Valley Township,"7,803",8,0,0,0,8,88,14,71,3,0
Vandergrift,"4,999",16,0,0,2,14,7,1,6,0,0
Vandling,716,2,0,0,0,2,3,1,0,2,0
Vernon Township,"5,449",1,0,1,0,0,42,0,42,0,0
Verona,"2,436",17,0,3,1,13,64,18,42,4,0
Vintondale,387,0,0,0,0,0,0,0,0,0,0
Walker Township,"1,018",0,0,0,0,0,0,0,0,0,0
Wampum,683,0,0,0,0,0,4,2,2,0,0
Warminster Township,"32,577",25,0,8,10,7,380,29,339,12,2
Warren,"9,264",30,0,3,0,27,206,6,200,0,1
Warrington Township,"24,044",7,0,1,4,2,275,34,235,6,6
"Warwick Township, Bucks County","14,741",13,1,0,0,12,77,5,67,5,0
"Washington, Washington County","13,421",92,1,9,29,53,437,86,333,18,2
"Washington Township, Fayette County","3,740",11,0,0,1,10,49,10,38,1,1
"Washington Township, Franklin County","14,631",11,0,2,6,3,286,26,258,2,3
"Washington Township, Northampton County","5,180",0,0,0,0,0,56,7,49,0,0
"Washington Township, Westmoreland County","7,216",3,0,0,0,3,56,4,50,2,0
Watsontown,"2,315",5,0,0,2,3,23,4,19,0,1
Waverly Township,"1,708",1,0,0,0,1,15,7,8,0,0
Waymart,"1,267",0,0,0,0,0,5,1,4,0,0
Waynesboro,"10,902",29,6,6,6,11,266,43,211,12,2
Waynesburg,"4,021",9,0,0,2,7,77,10,66,1,0
"Wayne Township, Lawrence County","2,509",3,0,0,0,3,1,1,0,0,1
Weatherly,"2,450",18,0,0,0,18,66,11,55,0,0
West Brandywine Township,"7,482",11,1,1,0,9,85,20,58,7,1
West Caln Township,"9,097",23,0,0,1,22,69,21,42,6,0
West Carroll Township,"1,234",2,0,0,0,2,5,2,3,0,1
West Chester,"20,129",59,0,16,19,24,403,68,320,15,18
West Cocalico Township,"7,439",7,0,0,0,7,31,8,23,0,1
West Conshohocken,"1,393",4,0,0,0,4,26,1,22,3,0
West Cornwall Township,"1,997",4,0,0,1,3,1,0,1,0,1
West Deer Township,"11,975",2,0,0,1,1,86,19,65,2,0
West Earl Township,"8,195",10,0,3,7,0,56,18,38,0,0
